arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P2C_F6_TOP10_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.39464190482165823,0.357487922705314,0.5555555555555556,0.44041450777202074,0.3975,400,207,193
P2C_F6_TOP10_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3659658069640095,0.28619528619528617,0.48148148148148145,0.5073891625615764,0.376,1000,594,406
P2C_F6_TOP10_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.33595517847833684,0.24508320726172467,0.46747352496217853,0.5339233038348082,0.343,1000,661,339
P2C_F6_TOP10_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.32051159317620476,0.2134387351778656,0.4031620553359684,0.6431535269709544,0.317,1000,759,241
P2C_F6_TOP10_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4090976838465437,0.3526570048309179,0.5072463768115942,0.48704663212435234,0.4175,400,207,193
P2C_F6_TOP10_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36192035855886917,0.25757575757575757,0.4478114478114478,0.6083743842364532,0.4,1000,594,406
P2C_F6_TOP10_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3402053774398369,0.2344931921331316,0.45385779122541603,0.6194690265486725,0.365,1000,661,339
P2C_F6_TOP10_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.30579131303045426,0.19367588932806323,0.37417654808959155,0.7261410788381742,0.322,1000,759,241
P2C_F6_SWAP_C1_SWVAR16,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.391680343390986,0.3526570048309179,0.5507246376811594,0.44041450777202074,0.395,400,207,193
P2C_F6_SWAP_C1_SWVAR16,qwen3_4b,math,processbench_math_qwen3_4b,0.3653231301430892,0.28619528619528617,0.48148148148148145,0.5049261083743842,0.375,1000,594,406
P2C_F6_SWAP_C1_SWVAR16,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.33737378357671327,0.24659606656580937,0.46747352496217853,0.5339233038348082,0.344,1000,661,339
P2C_F6_SWAP_C1_SWVAR16,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.32251231870731256,0.2147562582345191,0.4044795783926219,0.6473029045643154,0.319,1000,759,241
P2C_F6_SWAP_C1_SWVAR16,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4090976838465437,0.3526570048309179,0.5072463768115942,0.48704663212435234,0.4175,400,207,193
P2C_F6_SWAP_C1_SWVAR16,qwen3_8b,math,processbench_math_qwen3_8b,0.36015693112467306,0.25757575757575757,0.4494949494949495,0.5985221674876847,0.396,1000,594,406
P2C_F6_SWAP_C1_SWVAR16,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3424658252539182,0.23751891074130105,0.4568835098335855,0.6135693215339233,0.365,1000,661,339
P2C_F6_SWAP_C1_SWVAR16,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.3042925624636839,0.19367588932806323,0.37549407114624506,0.7095435684647303,0.318,1000,759,241
