task,fold,roster,population,channel,readout
pb_q4,0,top5,errors,true_tail50,top5
pb_q4,0,top5,errors,energy_level,top5
pb_q4,0,top5,errors,energy_innovation,top5
pb_q4,0,top5,errors,top15_turnover,top5
pb_q4,0,top5,errors,top50_js,top5
pb_q4,0,top5,errors,dominant_freq16,top5
pb_q4,0,top5,errors,bocpd_p0,top5
pb_q4,1,consensus10,all,q15_H1,top30
pb_q4,1,consensus10,all,q15_VE1,top30
pb_q4,1,consensus10,all,chosen_surprisal,top30
pb_q4,1,consensus10,all,logprob_margin,top30
pb_q4,1,consensus10,all,true_tail50,onset80
pb_q4,1,consensus10,all,energy_innovation,first_token
pb_q4,1,consensus10,all,top15_turnover,top10
pb_q4,1,consensus10,all,top50_js,onset80
pb_q4,1,consensus10,all,dominant_freq16,top5
pb_q4,1,consensus10,all,bocpd_p0,frac_above_z
pb_q4,1,consensus,all,q15_H1,top30
pb_q4,1,consensus,all,q15_VE1,top30
pb_q4,1,consensus,all,chosen_surprisal,frac_above_z
pb_q4,1,consensus,all,logprob_margin,top30
pb_q4,1,consensus,all,true_tail50,top30
pb_q4,1,consensus,all,energy_level,top30
pb_q4,1,consensus,all,energy_innovation,first_token
pb_q4,1,consensus,all,top15_turnover,top30
pb_q4,1,consensus,all,top50_js,iqr
pb_q4,1,consensus,all,dominant_freq16,top5
pb_q4,1,consensus,all,bocpd_p0,frac_above_z
pb_q4,1,onset80,all,q15_H1,onset80
pb_q4,1,onset80,all,q15_VE1,onset80
pb_q4,1,onset80,all,chosen_surprisal,onset80
pb_q4,1,onset80,all,logprob_margin,onset80
pb_q4,1,onset80,all,true_tail50,onset80
pb_q4,1,onset80,all,energy_level,onset80
pb_q4,1,onset80,all,energy_innovation,onset80
pb_q4,1,onset80,all,top15_turnover,onset80
pb_q4,1,onset80,all,top50_js,onset80
pb_q4,1,onset80,all,dominant_freq16,onset80
pb_q4,1,onset80,all,bocpd_p0,onset80
pb_q4,1,page_cross,all,q15_H1,page_cross
pb_q4,1,page_cross,all,q15_VE1,page_cross
pb_q4,1,page_cross,all,chosen_surprisal,page_cross
pb_q4,1,page_cross,all,logprob_margin,page_cross
pb_q4,1,page_cross,all,true_tail50,page_cross
pb_q4,1,page_cross,all,energy_level,page_cross
pb_q4,1,page_cross,all,energy_innovation,page_cross
pb_q4,1,page_cross,all,top15_turnover,page_cross
pb_q4,1,page_cross,all,top50_js,page_cross
pb_q4,1,page_cross,all,dominant_freq16,page_cross
pb_q4,1,page_cross,all,bocpd_p0,page_cross
pb_q4,1,selected,all,q15_H1,top10
pb_q4,1,selected,all,q15_VE1,top10
pb_q4,1,selected,all,chosen_surprisal,cusum_top5
pb_q4,1,selected,all,logprob_margin,top10
pb_q4,1,selected,all,true_tail50,top10
pb_q4,1,selected,all,energy_level,onset80
pb_q4,1,selected,all,energy_innovation,cusum_top5
pb_q4,1,selected,all,top15_turnover,cusum_top5
pb_q4,1,selected,all,top50_js,cusum_top5
pb_q4,1,selected,all,dominant_freq16,cusum_top5
pb_q4,1,selected,all,bocpd_p0,top10
pb_q4,1,selected_all,all,q15_H1,top30
pb_q4,1,selected_all,all,q15_VE1,top30
pb_q4,1,selected_all,all,chosen_surprisal,top30
pb_q4,1,selected_all,all,logprob_margin,top30
pb_q4,1,selected_all,all,true_tail50,top10
pb_q4,1,selected_all,all,energy_level,top30
pb_q4,1,selected_all,all,energy_innovation,cusum_top5
pb_q4,1,selected_all,all,top15_turnover,top30
pb_q4,1,selected_all,all,top50_js,iqr
pb_q4,1,selected_all,all,dominant_freq16,cusum_top5
pb_q4,1,selected_all,all,bocpd_p0,top10
pb_q4,1,shuffle,all,q15_H1,top5
pb_q4,1,shuffle,all,q15_VE1,top5
pb_q4,1,shuffle,all,chosen_surprisal,top5
pb_q4,1,shuffle,all,logprob_margin,top5
pb_q4,1,shuffle,all,true_tail50,top5
pb_q4,1,shuffle,all,energy_level,top5
pb_q4,1,shuffle,all,energy_innovation,top5
pb_q4,1,shuffle,all,top15_turnover,top5
pb_q4,1,shuffle,all,top50_js,top5
pb_q4,1,shuffle,all,dominant_freq16,top5
pb_q4,1,shuffle,all,bocpd_p0,top5
pb_q4,1,shuffle_consensus,all,q15_H1,top30
pb_q4,1,shuffle_consensus,all,q15_VE1,top30
pb_q4,1,shuffle_consensus,all,chosen_surprisal,top30
pb_q4,1,shuffle_consensus,all,logprob_margin,top30
pb_q4,1,shuffle_consensus,all,true_tail50,top30
pb_q4,1,shuffle_consensus,all,energy_level,top30
pb_q4,1,shuffle_consensus,all,energy_innovation,top30
pb_q4,1,shuffle_consensus,all,top15_turnover,top30
pb_q4,1,shuffle_consensus,all,top50_js,top30
pb_q4,1,shuffle_consensus,all,dominant_freq16,top30
pb_q4,1,shuffle_consensus,all,bocpd_p0,top30
pb_q4,1,top30,all,q15_H1,top30
pb_q4,1,top30,all,q15_VE1,top30
pb_q4,1,top30,all,chosen_surprisal,top30
pb_q4,1,top30,all,logprob_margin,top30
pb_q4,1,top30,all,true_tail50,top30
pb_q4,1,top30,all,energy_level,top30
pb_q4,1,top30,all,energy_innovation,top30
pb_q4,1,top30,all,top15_turnover,top30
pb_q4,1,top30,all,top50_js,top30
pb_q4,1,top30,all,dominant_freq16,top30
pb_q4,1,top30,all,bocpd_p0,top30
pb_q4,1,top5,all,q15_H1,top5
pb_q4,1,top5,all,q15_VE1,top5
pb_q4,1,top5,all,chosen_surprisal,top5
pb_q4,1,top5,all,logprob_margin,top5
pb_q4,1,top5,all,true_tail50,top5
pb_q4,1,top5,all,energy_level,top5
pb_q4,1,top5,all,energy_innovation,top5
pb_q4,1,top5,all,top15_turnover,top5
pb_q4,1,top5,all,top50_js,top5
pb_q4,1,top5,all,dominant_freq16,top5
pb_q4,1,top5,all,bocpd_p0,top5
pb_q4,1,top5,errors,q15_H1,top5
pb_q4,1,top5,errors,q15_VE1,top5
pb_q4,1,top5,errors,chosen_surprisal,top5
pb_q4,1,top5,errors,logprob_margin,top5
pb_q4,1,top5,errors,true_tail50,top5
pb_q4,1,top5,errors,energy_level,top5
pb_q4,1,top5,errors,energy_innovation,top5
pb_q4,1,top5,errors,top15_turnover,top5
pb_q4,1,top5,errors,top50_js,top5
pb_q4,1,top5,errors,dominant_freq16,top5
pb_q4,1,top5,errors,bocpd_p0,top5
pb_q4,2,consensus10,all,q15_H1,top30
pb_q4,2,consensus10,all,q15_VE1,top30
pb_q4,2,consensus10,all,chosen_surprisal,top30
pb_q4,2,consensus10,all,logprob_margin,top30
pb_q4,2,consensus10,all,true_tail50,onset80
pb_q4,2,consensus10,all,energy_innovation,first_token
pb_q4,2,consensus10,all,top15_turnover,top10
pb_q4,2,consensus10,all,top50_js,onset80
pb_q4,2,consensus10,all,dominant_freq16,top5
pb_q4,2,consensus10,all,bocpd_p0,frac_above_z
pb_q4,2,consensus,all,q15_H1,top30
pb_q4,2,consensus,all,q15_VE1,top30
pb_q4,2,consensus,all,chosen_surprisal,top30
pb_q4,2,consensus,all,logprob_margin,top30
pb_q4,2,consensus,all,true_tail50,top30
pb_q4,2,consensus,all,energy_level,top30
pb_q4,2,consensus,all,energy_innovation,first_token
pb_q4,2,consensus,all,top15_turnover,top30
pb_q4,2,consensus,all,top50_js,iqr
pb_q4,2,consensus,all,dominant_freq16,top10
pb_q4,2,consensus,all,bocpd_p0,frac_above_z
pb_q4,2,onset80,all,q15_H1,onset80
pb_q4,2,onset80,all,q15_VE1,onset80
pb_q4,2,onset80,all,chosen_surprisal,onset80
pb_q4,2,onset80,all,logprob_margin,onset80
