arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P3_H0_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.39464190482165823,0.357487922705314,0.5555555555555556,0.44041450777202074,0.3975,400,207,193
P3_H0_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3659658069640095,0.28619528619528617,0.48148148148148145,0.5073891625615764,0.376,1000,594,406
P3_H0_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.33595517847833684,0.24508320726172467,0.46747352496217853,0.5339233038348082,0.343,1000,661,339
P3_H0_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.32051159317620476,0.2134387351778656,0.4031620553359684,0.6431535269709544,0.317,1000,759,241
P3_H0_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4090976838465437,0.3526570048309179,0.5072463768115942,0.48704663212435234,0.4175,400,207,193
P3_H0_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36192035855886917,0.25757575757575757,0.4478114478114478,0.6083743842364532,0.4,1000,594,406
P3_H0_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3402053774398369,0.2344931921331316,0.45385779122541603,0.6194690265486725,0.365,1000,661,339
P3_H0_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.30579131303045426,0.19367588932806323,0.37417654808959155,0.7261410788381742,0.322,1000,759,241
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.4089275927166433,0.38164251207729466,0.5700483091787439,0.44041450777202074,0.41,400,207,193
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3604131534569983,0.27946127946127947,0.49326599326599324,0.5073891625615764,0.372,1000,594,406
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3498980044844309,0.26021180030257185,0.491679273827534,0.5339233038348082,0.353,1000,661,339
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3479344685178525,0.23847167325428195,0.4176548089591568,0.6431535269709544,0.336,1000,759,241
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4218071622133512,0.3719806763285024,0.5169082125603864,0.48704663212435234,0.4275,400,207,193
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.35858362496635005,0.2542087542087542,0.45791245791245794,0.6083743842364532,0.398,1000,594,406
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.35121407333994054,0.24508320726172467,0.4689863842662632,0.6194690265486725,0.372,1000,661,339
P3A_H2_EQUAL_OUTER_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.31394395038269296,0.2002635046113307,0.37812911725955206,0.7261410788381742,0.327,1000,759,241
P3E0_H2_XFIT_EQUAL_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.4089275927166433,0.38164251207729466,0.5700483091787439,0.44041450777202074,0.41,400,207,193
P3E0_H2_XFIT_EQUAL_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3604131534569983,0.27946127946127947,0.49326599326599324,0.5073891625615764,0.372,1000,594,406
P3E0_H2_XFIT_EQUAL_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3498980044844309,0.26021180030257185,0.491679273827534,0.5339233038348082,0.353,1000,661,339
P3E0_H2_XFIT_EQUAL_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3479344685178525,0.23847167325428195,0.4176548089591568,0.6431535269709544,0.336,1000,759,241
P3E0_H2_XFIT_EQUAL_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4218071622133512,0.3719806763285024,0.5169082125603864,0.48704663212435234,0.4275,400,207,193
