cell,layer,metric,module,auroc,spearman_to_anchor,label_use
gsm8k_t1.0,0,lens_H,attn,0.46538715263461694,-0.0563884788788567,evaluation_only
gsm8k_t1.0,1,lens_H,attn,0.5055867073472416,0.07478940111834251,evaluation_only
gsm8k_t1.0,2,lens_H,attn,0.5652057392595036,0.016918176136933433,evaluation_only
gsm8k_t1.0,3,lens_H,attn,0.5698235342623896,0.04287528902030413,evaluation_only
gsm8k_t1.0,4,lens_H,attn,0.5714212088727633,0.1641629878037283,evaluation_only
gsm8k_t1.0,5,lens_H,attn,0.6117341469448339,0.22733631081052083,evaluation_only
gsm8k_t1.0,6,lens_H,attn,0.527294466892059,0.06200959422222483,evaluation_only
gsm8k_t1.0,7,lens_H,attn,0.5094005112558753,0.16631214461746038,evaluation_only
gsm8k_t1.0,8,lens_H,attn,0.6665086171353178,0.289967173520104,evaluation_only
gsm8k_t1.0,9,lens_H,attn,0.529273521893296,0.15422741728966172,evaluation_only
gsm8k_t1.0,10,lens_H,attn,0.48427063577141916,-0.05316876823010398,evaluation_only
gsm8k_t1.0,11,lens_H,attn,0.5966850828729282,0.11256561854017554,evaluation_only
gsm8k_t1.0,12,lens_H,attn,0.5935721942772326,0.24776931383019524,evaluation_only
gsm8k_t1.0,13,lens_H,attn,0.5047621010967263,-0.007036057990169757,evaluation_only
gsm8k_t1.0,14,lens_H,attn,0.47468458810917785,-0.0724105139143758,evaluation_only
gsm8k_t1.0,15,lens_H,attn,0.5136369258678981,0.04328114442473868,evaluation_only
gsm8k_t1.0,16,lens_H,attn,0.5275212336109508,-0.0554089935507473,evaluation_only
gsm8k_t1.0,17,lens_H,attn,0.6430485693081553,0.14677852058588087,evaluation_only
gsm8k_t1.0,18,lens_H,attn,0.49103240702564527,-0.1069683005166876,evaluation_only
gsm8k_t1.0,19,lens_H,attn,0.5010101426568814,0.19717021582082916,evaluation_only
gsm8k_t1.0,20,lens_H,attn,0.423620846046013,-0.21210813266696954,evaluation_only
gsm8k_t1.0,21,lens_H,attn,0.5156675187597922,0.045703350110437795,evaluation_only
gsm8k_t1.0,22,lens_H,attn,0.4771377917044611,-0.1374121562217882,evaluation_only
gsm8k_t1.0,23,lens_H,attn,0.36637255710398287,-0.3048777513566246,evaluation_only
gsm8k_t1.0,24,lens_H,attn,0.3812154696132597,-0.2028421752410848,evaluation_only
gsm8k_t1.0,25,lens_H,attn,0.36812484538632806,-0.3429511575808713,evaluation_only
gsm8k_t1.0,26,lens_H,attn,0.5150902943844313,-0.02792561822548192,evaluation_only
gsm8k_t1.0,27,lens_H,attn,0.464665622165416,-0.26865326858511773,evaluation_only
gsm8k_t1.0,28,lens_H,attn,0.5136266182897666,-0.07280565111096687,evaluation_only
gsm8k_t1.0,29,lens_H,attn,0.4373093098045683,-0.09000670690811535,evaluation_only
gsm8k_t1.0,30,lens_H,attn,0.5167807371979879,-0.10750986859573865,evaluation_only
gsm8k_t1.0,31,lens_H,attn,0.3719798796074874,-0.41758675218466224,evaluation_only
gsm8k_t1.0,0,lens_logp_tgt,attn,0.6791869382369918,0.203907216515122,evaluation_only
gsm8k_t1.0,1,lens_logp_tgt,attn,0.631689618207306,0.1416681909639656,evaluation_only
gsm8k_t1.0,2,lens_logp_tgt,attn,0.4985981693741238,-0.2661533226730864,evaluation_only
gsm8k_t1.0,3,lens_logp_tgt,attn,0.5030716582831698,-0.08397983207160854,evaluation_only
gsm8k_t1.0,4,lens_logp_tgt,attn,0.6215675764822297,0.16894022984436433,evaluation_only
gsm8k_t1.0,5,lens_logp_tgt,attn,0.5652057392595036,0.2305292163538415,evaluation_only
gsm8k_t1.0,6,lens_logp_tgt,attn,0.5493114537808197,0.044877967708499285,evaluation_only
gsm8k_t1.0,7,lens_logp_tgt,attn,0.6006638080316649,0.1522003969073483,evaluation_only
gsm8k_t1.0,8,lens_logp_tgt,attn,0.6521810835326132,0.26751447099016384,evaluation_only
gsm8k_t1.0,9,lens_logp_tgt,attn,0.5446730436216707,0.1691272758742091,evaluation_only
