geometry_id,selector,trust_class,actuator,legacy_field_name,legacy_value,corrected_field_name,lambda_is_full_parameter,cross_lambda_parameter
residual_union_k7,one_se,canonical,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k7,one_se,canonical,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k7,one_se,v1,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k7,one_se,v1,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k7,one_se,expanded,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k7,one_se,expanded,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k7,max_mean,canonical,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k7,max_mean,canonical,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k7,max_mean,v1,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k7,max_mean,v1,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k7,max_mean,expanded,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k7,max_mean,expanded,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k5,one_se,canonical,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k5,one_se,canonical,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k5,one_se,v1,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k5,one_se,v1,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k5,one_se,expanded,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k5,one_se,expanded,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
residual_union_k5,max_mean,canonical,full,lambda_is_a_cross_parameter,True,lambda_is_full_parameter,True,
residual_union_k5,max_mean,canonical,cross,lambda_is_a_cross_parameter,False,lambda_is_full_parameter,False,
