cell,min_frac,exclude_frac,scale_ratio,auroc,auroc_deployed,delta_pp,n_keep,proj_residual,g2_hat,g2_at_ceiling,is_deployed_point
ars_gsm8k_r1distill8b,0.01,10.0,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.01,10.0,0.25,0.756423723335488,0.7384857789269554,1.793794440853258,23,0.28561008539394633,0.07775919732441472,False,False
ars_gsm8k_r1distill8b,0.01,10.0,0.5,0.7564843244990305,0.7384857789269554,1.799854557207503,23,0.2856110321699942,0.07859531772575251,False,False
ars_gsm8k_r1distill8b,0.01,10.0,1.0,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.2856126883324834,0.07692307692307693,False,False
ars_gsm8k_r1distill8b,0.01,inf,0.05,0.7546258888170654,0.7384857789269554,1.6140109890109944,23,0.28779731057108426,0.05,True,False
ars_gsm8k_r1distill8b,0.01,inf,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.01,inf,0.25,0.756423723335488,0.7384857789269554,1.793794440853258,23,0.28561008539394633,0.07775919732441472,False,False
ars_gsm8k_r1distill8b,0.01,inf,0.5,0.7564843244990305,0.7384857789269554,1.799854557207503,23,0.2856110321699942,0.07859531772575251,False,False
ars_gsm8k_r1distill8b,0.01,inf,1.0,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.2856126883324834,0.07692307692307693,False,False
ars_gsm8k_r1distill8b,0.05,2.0,0.05,0.6863081771170007,0.7384857789269554,-5.217760180995478,12,0.1726939263098815,0.05,True,False
ars_gsm8k_r1distill8b,0.05,2.0,0.1,0.6995596315449257,0.7384857789269554,-3.8926147382029708,14,0.15302721860770707,0.1,True,False
ars_gsm8k_r1distill8b,0.05,2.0,0.25,0.7154169360051714,0.7384857789269554,-2.3068842921784016,14,0.08141525781201288,0.25,True,False
ars_gsm8k_r1distill8b,0.05,2.0,0.5,0.7275775694893342,0.7384857789269554,-1.0908209437621275,14,0.04514957886006056,0.431438127090301,False,False
ars_gsm8k_r1distill8b,0.05,2.0,1.0,0.7275775694893342,0.7384857789269554,-1.0908209437621275,14,0.04514957886006056,0.431438127090301,False,False
ars_gsm8k_r1distill8b,0.05,3.0,0.05,0.720063025210084,0.7384857789269554,-1.842275371687141,17,0.16810973592299572,0.05,True,False
ars_gsm8k_r1distill8b,0.05,3.0,0.1,0.7268907563025211,0.7384857789269554,-1.1595022624434348,17,0.13661089130411913,0.1,True,False
ars_gsm8k_r1distill8b,0.05,3.0,0.25,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,True
ars_gsm8k_r1distill8b,0.05,3.0,0.5,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.05,3.0,1.0,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.05,5.0,0.05,0.7356779250161604,0.7384857789269554,-0.28078539107950773,19,0.17899659854968464,0.05,True,False
ars_gsm8k_r1distill8b,0.05,5.0,0.1,0.7395765998707176,0.7384857789269554,0.10908209437621164,19,0.16304482789102814,0.1,True,False
ars_gsm8k_r1distill8b,0.05,5.0,0.25,0.742263251454428,0.7384857789269554,0.3777472527472514,19,0.15964728406723058,0.13963210702341136,False,False
ars_gsm8k_r1distill8b,0.05,5.0,0.5,0.7423036522301228,0.7384857789269554,0.3817873303167407,19,0.15964838586522034,0.14046822742474915,False,False
ars_gsm8k_r1distill8b,0.05,5.0,1.0,0.7423036522301228,0.7384857789269554,0.3817873303167407,19,0.15964838586522034,0.14046822742474915,False,False
ars_gsm8k_r1distill8b,0.05,10.0,0.05,0.7516766321913382,0.7384857789269554,1.319085326438274,22,0.2817221767289003,0.05,True,False
ars_gsm8k_r1distill8b,0.05,10.0,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.05,10.0,0.25,0.756423723335488,0.7384857789269554,1.793794440853258,23,0.28561008539394633,0.07775919732441472,False,False
ars_gsm8k_r1distill8b,0.05,10.0,0.5,0.7564843244990305,0.7384857789269554,1.799854557207503,23,0.2856110321699942,0.07859531772575251,False,False
ars_gsm8k_r1distill8b,0.05,10.0,1.0,0.750323206205559,0.7384857789269554,1.1837427278603596,21,0.2734248764438286,0.056856187290969896,False,False
ars_gsm8k_r1distill8b,0.05,inf,0.05,0.7546258888170654,0.7384857789269554,1.6140109890109944,23,0.28779731057108426,0.05,True,False
ars_gsm8k_r1distill8b,0.05,inf,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.05,inf,0.25,0.756423723335488,0.7384857789269554,1.793794440853258,23,0.28561008539394633,0.07775919732441472,False,False
ars_gsm8k_r1distill8b,0.05,inf,0.5,0.7564843244990305,0.7384857789269554,1.799854557207503,23,0.2856110321699942,0.07859531772575251,False,False
ars_gsm8k_r1distill8b,0.05,inf,1.0,0.750323206205559,0.7384857789269554,1.1837427278603596,21,0.2734248764438286,0.056856187290969896,False,False
ars_gsm8k_r1distill8b,0.1,2.0,0.05,0.6863081771170007,0.7384857789269554,-5.217760180995478,12,0.1726939263098815,0.05,True,False
ars_gsm8k_r1distill8b,0.1,2.0,0.1,0.6995596315449257,0.7384857789269554,-3.8926147382029708,14,0.15302721860770707,0.1,True,False
ars_gsm8k_r1distill8b,0.1,2.0,0.25,0.7154169360051714,0.7384857789269554,-2.3068842921784016,14,0.08141525781201288,0.25,True,False
ars_gsm8k_r1distill8b,0.1,2.0,0.5,0.7275775694893342,0.7384857789269554,-1.0908209437621275,14,0.04514957886006056,0.431438127090301,False,False
ars_gsm8k_r1distill8b,0.1,2.0,1.0,0.7275775694893342,0.7384857789269554,-1.0908209437621275,14,0.04514957886006056,0.431438127090301,False,False
ars_gsm8k_r1distill8b,0.1,3.0,0.05,0.720063025210084,0.7384857789269554,-1.842275371687141,17,0.16810973592299572,0.05,True,False
ars_gsm8k_r1distill8b,0.1,3.0,0.1,0.7268907563025211,0.7384857789269554,-1.1595022624434348,17,0.13661089130411913,0.1,True,False
ars_gsm8k_r1distill8b,0.1,3.0,0.25,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.1,3.0,0.5,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.1,3.0,1.0,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.1,5.0,0.05,0.7356779250161604,0.7384857789269554,-0.28078539107950773,19,0.17899659854968464,0.05,True,False
ars_gsm8k_r1distill8b,0.1,5.0,0.1,0.7395765998707176,0.7384857789269554,0.10908209437621164,19,0.16304482789102814,0.1,True,False
ars_gsm8k_r1distill8b,0.1,5.0,0.25,0.742263251454428,0.7384857789269554,0.3777472527472514,19,0.15964728406723058,0.13963210702341136,False,False
ars_gsm8k_r1distill8b,0.1,5.0,0.5,0.7423036522301228,0.7384857789269554,0.3817873303167407,19,0.15964838586522034,0.14046822742474915,False,False
ars_gsm8k_r1distill8b,0.1,5.0,1.0,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.1,10.0,0.05,0.7516766321913382,0.7384857789269554,1.319085326438274,22,0.2817221767289003,0.05,True,False
ars_gsm8k_r1distill8b,0.1,10.0,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.1,10.0,0.25,0.756423723335488,0.7384857789269554,1.793794440853258,23,0.28561008539394633,0.07775919732441472,False,False
ars_gsm8k_r1distill8b,0.1,10.0,0.5,0.7501818034906271,0.7384857789269554,1.1696024563671692,21,0.2734244887709596,0.05518394648829431,False,False
ars_gsm8k_r1distill8b,0.1,10.0,1.0,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.1,inf,0.05,0.7546258888170654,0.7384857789269554,1.6140109890109944,23,0.28779731057108426,0.05,True,False
ars_gsm8k_r1distill8b,0.1,inf,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.1,inf,0.25,0.756423723335488,0.7384857789269554,1.793794440853258,23,0.28561008539394633,0.07775919732441472,False,False
ars_gsm8k_r1distill8b,0.1,inf,0.5,0.7501818034906271,0.7384857789269554,1.1696024563671692,21,0.2734244887709596,0.05518394648829431,False,False
ars_gsm8k_r1distill8b,0.1,inf,1.0,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.2,2.0,0.05,0.6863081771170007,0.7384857789269554,-5.217760180995478,12,0.1726939263098815,0.05,True,False
ars_gsm8k_r1distill8b,0.2,2.0,0.1,0.6995596315449257,0.7384857789269554,-3.8926147382029708,14,0.15302721860770707,0.1,True,False
ars_gsm8k_r1distill8b,0.2,2.0,0.25,0.7154169360051714,0.7384857789269554,-2.3068842921784016,14,0.08141525781201288,0.25,True,False
ars_gsm8k_r1distill8b,0.2,2.0,0.5,0.7275775694893342,0.7384857789269554,-1.0908209437621275,14,0.04514957886006056,0.431438127090301,False,False
ars_gsm8k_r1distill8b,0.2,2.0,1.0,0.7268705559146735,0.7384857789269554,-1.1615223012281906,11,0.014716637143513718,0.5284280936454849,False,False
ars_gsm8k_r1distill8b,0.2,3.0,0.05,0.720063025210084,0.7384857789269554,-1.842275371687141,17,0.16810973592299572,0.05,True,False
ars_gsm8k_r1distill8b,0.2,3.0,0.1,0.7268907563025211,0.7384857789269554,-1.1595022624434348,17,0.13661089130411913,0.1,True,False
ars_gsm8k_r1distill8b,0.2,3.0,0.25,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.2,3.0,0.5,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.2,3.0,1.0,0.7268705559146735,0.7384857789269554,-1.1615223012281906,11,0.014716637143513718,0.5284280936454849,False,False
ars_gsm8k_r1distill8b,0.2,5.0,0.05,0.7356779250161604,0.7384857789269554,-0.28078539107950773,19,0.17899659854968464,0.05,True,False
ars_gsm8k_r1distill8b,0.2,5.0,0.1,0.7395765998707176,0.7384857789269554,0.10908209437621164,19,0.16304482789102814,0.1,True,False
ars_gsm8k_r1distill8b,0.2,5.0,0.25,0.742263251454428,0.7384857789269554,0.3777472527472514,19,0.15964728406723058,0.13963210702341136,False,False
ars_gsm8k_r1distill8b,0.2,5.0,0.5,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
