method,PB_percent,within_AUC,PRMScore,prediction_MSE
ridge,40.847242,0.761620209,0.641765387,0.688936271830082
mean16,39.864792,0.759978702,0.639335722,0.9576991066450565
bocpd,40.367635,0.763222892,0.642267647,0.8185267632354756
noreset,39.860765,0.762838986,0.642239494,1.015761575968989
zero,39.397731,0.760115906,0.640377968,1.0000000000394456
original4,37.474898,0.753435851,0.634412436,
innovation5,39.831353,0.760292625,0.638829809,
single__H0lim,36.333526,0.743971625,0.633422177,
single__VE0,36.527020,0.753406039,0.635476736,
single__VE075,37.889234,0.732302295,0.618678525,
single__VE1,36.902094,0.737786302,0.625781228,
entropy15,36.347608,0.730111361,0.625425539,
RBM12,37.125345,0.745204499,0.622215135,
